"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%8) - 0.5 + (Event #/(89159 + 1))","Time"
10211.8,50982.2,13127,7372.08,69068.9,6995,10961,735.12,3,-0.377075,2.00751
16182.4,55571.7,19084,9846.72,66582.2,9692,10977,872.64,-5.25,-0.376895,2.00868
8193.28,44993.7,11934,4280.4,64016.5,4382,11009,341.28,35.25,-0.376537,2.01449
15625.6,60791.9,16845,11993,72822.7,10793,11025,1149.12,32.25,-0.376357,2.01682
18330.2,64536.9,18614,13459.7,72101.8,12234,11033,1362.24,12,-0.376267,2.01799
20137.6,89522.3,14742,13671.4,91109,9834,11041,1575.36,22.5,-0.376178,2.01799
22984.3,71102.2,21185,16043,77479.5,13570,11049,1447.92,28.5,-0.376088,2.02031
9450.24,47476.5,13045,5390.64,72796.4,4853,11065,599.04,31.5,-0.375908,2.02264
10168.3,50564.6,13179,7459.92,70022,6982,11073,725.76,45.75,-0.375819,2.0238
17377.9,64525.7,17650,14035,72918.6,12614,11081,1622.88,48.75,-0.375729,2.02497
8620.16,46416.1,12171,4040.64,63916.8,4143,11097,495.36,19.5,-0.37555,2.0273
11059.8,52276.8,13865,8441.28,69073.3,8009,11105,500.4,3,-0.37546,2.02846
17734.4,56195.8,20682,12443,64993,12547,11129,1137.6,7.5,-0.375191,2.03195
9872.64,50378.7,12843,7440.48,68122.3,7158,11153,597.6,17.25,-0.374922,2.03428
21400.3,74620.5,18795,12897.4,92527.8,9135,11169,1746,-3,-0.374742,2.03777
10524.8,54405.5,12678,8305.92,69236.4,7862,11177,1184.4,6,-0.374652,2.03893
17433,57172.9,19983,11670.5,65922.8,11602,11193,1015.92,25.5,-0.374473,2.04126
7497.6,45070.9,10902,3663.36,63953.6,3754,11201,334.08,5.25,-0.374383,2.04242
10315.5,48524.1,13932,5654.88,65292.2,5676,11217,854.64,33,-0.374204,2.04475
14055.7,57521.7,16014,10901.5,70492.6,10135,11225,882,24.75,-0.374114,2.04592
13600,57673.7,15454,10594.1,71319.3,9735,11241,886.32,20.25,-0.373935,2.04708
13079,57821.6,14824,10636.6,69763.6,9992,11289,775.44,37.5,-0.373396,2.05406
13943.7,53057.7,17223,7225.92,64447.2,7348,11297,471.6,27,-0.373306,2.05639
10686.7,49688.9,14095,6590.88,66177.4,6527,11313,865.44,12.75,-0.373127,2.05755
16384,54838.7,19580,7997.04,64671,8104,11353,1281.6,19.5,-0.372678,2.06337
15652.5,54767.8,18730,10098.7,66136.7,10007,11361,909.36,24,-0.372589,2.06454
8266.24,47350.4,11441,5340.96,64663.8,5413,11369,238.32,4.5,-0.372499,2.0657
12801.3,51383.9,16327,4988.88,64373.2,5079,11377,501.84,-9,-0.372409,2.06686
21710.1,69475.6,20479,14000.4,79460.5,11547,11393,1334.16,42,-0.37223,2.07036
13374.1,83737.8,10467,8300.16,100306,5423,11417,694.08,6.75,-0.371961,2.07385
7611.52,44882.9,11114,2890.08,63837,2967,11433,558,15,-0.371781,2.07617
16148.5,58231.9,18174,12422.2,69355.8,11738,11441,1115.28,30,-0.371691,2.07734
12662.4,51456.8,16127,6734.88,64163,6879,11449,390.24,11.25,-0.371602,2.0785
21034.2,58704.5,23482,12586.3,65636.8,12567,11457,1191.6,55.5,-0.371512,2.07967
13622.4,52876,16884,7250.4,66409.8,7155,11473,816.48,31.5,-0.371332,2.08199
10720.6,51019.4,13771,8180.64,65782.4,8150,11489,609.84,45.75,-0.371153,2.08432
12519,52344.5,15674,7541.28,64867.5,7619,11497,545.76,22.5,-0.371063,2.08432
15131.5,98554.9,10062,7260.48,110889,4291,11505,663.84,9.75,-0.370974,2.08548
11294.1,49769.3,14872,4284,63866.3,4396,11513,662.4,-9,-0.370884,2.08665
16485.1,57180.5,18894,10943.3,72158,9939,11521,1406.88,50.25,-0.370794,2.08781
11558.4,54394,13926,8387.28,71441.2,7694,11529,1416.96,12.75,-0.370704,2.08898
13557.8,55129.4,16117,10756.1,67539.6,10437,11569,543.6,1.5,-0.370256,2.09596
18393,55769.5,21614,11192.4,65264.3,11239,11577,627.12,-12.75,-0.370166,2.09712
24716.2,103475,15654,13476.2,99569.2,8870,11585,1231.2,-18,-0.370076,2.09829
14261.1,54379.3,17187,8805.6,68350.6,8443,11625,637.92,51,-0.369628,2.10294
12737.9,54536.6,15307,8369.28,68923,7958,11633,1103.76,48.75,-0.369538,2.1041
17025.3,57531.6,19394,9758.88,69051.8,9262,11649,960.48,3,-0.369358,2.10643
13943.7,60686.2,15058,9943.2,71092.9,9166,11713,1398.24,-3,-0.368641,2.11574
9628.16,51758.8,12191,7164.72,70019,6706,11729,1031.04,3.75,-0.368461,2.11807
7809.28,46764.3,10944,3880.08,64229.6,3959,11745,383.04,6.75,-0.368282,2.1204
8673.28,48371.4,11751,4831.2,63950.2,4951,11761,174.96,36.75,-0.368102,2.12389
14889,55956.1,17438,10378.8,70565.9,9639,11769,1145.52,61.5,-0.368013,2.12505
7448.32,46185.4,10569,2965.68,63661.6,3053,11793,231.12,-16.5,-0.367743,2.12854
19957.8,59770.2,21883,13087.4,69896.4,12271,11801,1290.96,31.5,-0.367654,2.12854
12963.2,58085.3,14626,8900.64,69063.8,8446,11825,1403.28,24.75,-0.367384,2.13204
11325.4,50677.6,14646,5440.32,63508.5,5614,11841,447.12,6,-0.367205,2.13436
16526.1,63664.1,17012,12085.9,72347.7,10948,11849,833.04,11.25,-0.367115,2.13553
11896.3,50930,15308,4516.56,63682.7,4648,11857,370.08,7.5,-0.367026,2.13785
15253.8,62249.9,16059,11956.3,71350.3,10982,11881,1178.64,42.75,-0.366756,2.14135
11840.6,52041.3,14911,5132.16,65056.3,5170,11889,511.92,-7.5,-0.366667,2.14367
13721,59527.1,15106,8258.4,71761.1,7542,11897,825.12,-18,-0.366577,2.14367
11001.6,57063.8,12635,8436.24,71783.6,7702,11921,733.68,-6,-0.366308,2.14833
13174.4,53996.1,15990,8603.28,65882.8,8558,11929,434.88,15,-0.366218,2.14833
24047.4,61527.6,25614,14510.2,66690.4,14259,11945,1186.56,63.75,-0.366039,2.15066
10588.2,56576.1,12265,6829.92,69396.2,6450,11953,513.36,-4.5,-0.365949,2.15298
8824.96,55466.8,10427,7198.56,70140.5,6726,11969,751.68,23.25,-0.365769,2.15415
