"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
13675,70169.6,12772,6068.4,70264.8,5660,11757.8,9.6,1.33264
20473,69837.5,19212,10517,67197.2,10257,8844.55,3.84,1.33264
21943.9,67634.5,21263,11684.4,69854.8,10962,7031.7,14.72,1.33384
6918.93,62864.1,7213,3030.95,62073.9,3200,8906.3,-5.12,1.33624
13484.4,64637,13672,4758,64519,4833,7527.65,-6.4,1.33863
18705.4,66461.1,18445,8750.3,64578.8,8880,7369.7,8.96,1.33983
17933,71141.7,16520,7176,70645.4,6657,15054,21.12,1.34342
16219.1,70323.2,15115,6236.75,69535.8,5878,18431.4,20.48,1.34462
10860.7,64221.6,11083,4229.55,62683.8,4422,8151.65,-5.12,1.34581
23736.3,79204.8,19640,14370.2,73414.8,12828,29073.8,-3.84,1.3518
11157.5,64824.2,11280,4181.45,62280.8,4400,6778.2,-3.2,1.353
11786.4,70703.5,10925,6998.55,69577.8,6592,7790.25,21.76,1.353
10851.3,65363,10880,3466.45,62206.3,3652,8205.6,23.68,1.35659
14391.9,66637.4,14154,6964.75,68876.1,6627,20251.4,7.04,1.35779
12430.1,64102.9,12708,4557.8,63123.4,4732,9328.8,38.4,1.35779
17703.5,66975.6,17323,9616.75,66383.3,9494,7481.5,3.2,1.35779
10577.5,68229.2,10160,6535.75,68554.2,6248,17486.3,17.92,1.36497
19028.1,71585.8,17420,9941.75,72065.3,9041,12437.1,8.32,1.36737
12682.6,64471.7,12892,4780.75,62901.3,4981,11987.3,-9.6,1.37096
16030.3,65553.6,16026,5335.85,63870.4,5475,12126.4,2.56,1.37335
12589.4,62924.1,13112,3237.65,67898.4,3125,8447.4,-12.8,1.37455
11029.5,65002.4,11120,7290.4,66692.3,7164,9900.8,13.44,1.37934
16359.5,65610.3,16341,5694,63322.9,5893,14940.2,7.04,1.38054
16541.8,68678.2,15785,9885.2,67729.9,9565,6987.5,-10.24,1.38892
12513.9,64086.2,12797,6420.7,65912.8,6384,11570,16,1.38892
11504.4,68311.4,11037,5443.1,68811.5,5184,15712.4,-1.28,1.39491
13683.9,65940.1,13600,6334.9,65732.1,6316,6625.45,38.4,1.3985
16698.8,73749.6,14839,10132.2,69640.7,9535,16954.6,7.68,1.3997
21793.4,72718,19641,14709.5,70421.6,13689,9269.65,20.48,1.40568
13168.2,65576.9,13160,5753.15,66135.5,5701,8382.4,-13.44,1.40808
11806.5,82489.3,9380,8425.95,71901.4,7680,23195.9,-1.92,1.40927
14999,72812.8,13500,8806.85,71140.9,8113,16154.4,23.04,1.41047
9896.07,65239.8,9941,5014.75,63777.7,5153,8102.9,12.8,1.41406
12018.9,64268.1,12256,4804.15,63733.8,4940,7446.4,3.2,1.41526
11364,73179.8,10177,8186.75,71872.3,7465,6878.3,-19.2,1.41885
22012.9,74767.4,19295,14071.8,70279.9,13122,9053.2,10.24,1.42244
15287.5,72093.3,13897,9225.45,70131,8621,6717.1,9.6,1.42604
10651.3,71520.7,9760,7788.3,80608.7,6332,14675,56.32,1.42963
15868.6,65559.3,15863,5931.25,64154.2,6059,7595.9,-7.04,1.42963
16184.9,66933.3,15847,6914.05,65112.7,6959,13690.9,14.72,1.43083
11450.7,65385.9,11477,4274.4,63824.8,4389,7207.2,10.88,1.43202
13291.5,65258.7,13348,4214.6,64294.2,4296,8564.4,-10.24,1.43202
12478.5,70396,11617,6195.15,69557.2,5837,19470.8,-10.88,1.43681
9824.09,64797.9,9936,3623.1,62419.4,3804,11433.5,-24.32,1.43801
14445,65832.1,14380,5578.95,63070.9,5797,9867.65,1.92,1.4404
9087.18,69604.7,8556,6107.4,66932.2,5980,13676.6,2.56,1.4428
15942.4,80363.1,13001,11113.7,73090.6,9965,7057.7,-17.28,1.44639
9509.62,79129.3,7876,8093.8,75603.7,7016,17938.7,39.04,1.45358
16517.6,76696.9,14114,9452.3,72283.1,8570,22571.2,11.52,1.45717
14234.3,71609.9,13027,7153.25,69938.1,6703,6540.3,5.76,1.45956
15316.4,66225.2,15157,4856.8,62252.1,5113,10584.6,-12.8,1.46794
9078.33,64838.4,9176,3481.4,62457.4,3653,9661.6,-2.56,1.47034
12041.9,64766.4,12185,3630.9,68594.6,3469,12548.2,6.4,1.47393
15960.1,64573.4,16198,4376.45,61535.1,4661,6904.95,3.2,1.47513
15909.9,66176.3,15756,5132.4,63752.3,5276,9931.35,7.04,1.47513
12933.4,65155.1,13009,5864.95,63249.2,6077,6772.35,2.56,1.47752
