,x,y,color,trajectory
4206,6,9.478874391830969,1,600
4207,0,9.033693603863576,5,601
4208,1,9.033693603863576,5,601
4209,2,8.944975059385056,5,601
4210,3,8.739636227326962,5,601
4211,4,7.866891930602015,5,601
4212,5,7.338949558095661,5,601
4213,6,9.478874391830969,5,601
4214,0,9.033693603863576,0,602
4215,1,9.575428996624105,0,602
4216,2,9.54427885712342,0,602
4217,3,9.329142938022043,0,602
4218,4,9.304304831194711,0,602
4219,5,9.572050258153302,0,602
4220,6,9.478874391830969,0,602
4221,0,9.033693603863576,2,603
4222,1,8.875364418529266,2,603
4223,2,8.579226123305185,2,603
4224,3,8.83466187471195,2,603
4225,4,8.963847522668088,2,603
4226,5,9.337578383130774,2,603
4227,6,9.478874391830969,2,603
4228,0,9.033693603863576,3,604
4229,1,8.3305787261921,3,604
4230,2,7.95807627067007,3,604
4231,3,8.220328041909704,3,604
4232,4,9.13111341217399,3,604
4233,5,9.5062854087942,3,604
4234,6,9.478874391830969,3,604
4235,0,9.033693603863576,1,605
4236,1,9.033693603863576,1,605
4237,2,9.577458325044551,1,605
4238,3,9.17960678055478,1,605
4239,4,9.657820504860966,1,605
4240,5,9.724542871865236,1,605
4241,6,9.478874391830969,1,605
4242,0,9.033693603863576,4,606
4243,1,9.10414568877981,4,606
4244,2,8.559446764470886,4,606
4245,3,8.183121155167116,4,606
4246,4,7.692956579398516,4,606
4247,5,9.517928035459263,4,606
4248,6,9.478874391830969,4,606
4249,0,9.033693603863576,5,607
4250,1,8.12840825158325,5,607
4251,2,8.230788600822576,5,607
4252,3,7.76343188573732,5,607
4253,4,7.258143695121131,5,607
4254,5,7.21413498952496,5,607
4255,6,9.478874391830969,5,607
4256,0,9.033693603863576,5,608
4257,1,9.033693603863576,5,608
4258,2,8.48239752824715,5,608
4259,3,8.04391749554978,5,608
4260,4,8.252084384866057,5,608
4261,5,7.723038533171246,5,608
4262,6,9.478874391830969,5,608
4263,0,9.033693603863576,5,609
4264,1,9.033693603863576,5,609
4265,2,8.957068238775648,5,609
4266,3,8.864883754360962,5,609
4267,4,8.722259691730102,5,609
4268,5,7.522990942338609,5,609
4269,6,9.478874391830969,5,609
4270,0,9.033693603863576,5,610
4271,1,8.96114701549874,5,610
4272,2,7.436612066900696,5,610
4273,3,7.048337094338554,5,610
4274,4,6.9402048707521296,5,610
4275,5,6.949147380665456,5,610
4276,6,9.478874391830969,5,610
4277,0,9.033693603863576,1,611
4278,1,9.033693603863576,1,611
4279,2,9.192153813122031,1,611
4280,3,9.17673048930198,1,611
4281,4,9.633222984828896,1,611
4282,5,9.373844581545354,1,611
4283,6,9.478874391830969,1,611
4284,0,9.033693603863576,5,612
4285,1,8.96114701549874,5,612
4286,2,8.212004231588567,5,612
4287,3,8.516063110718811,5,612
4288,4,8.367003131054236,5,612
4289,5,8.179233547448348,5,612
4290,6,9.478874391830969,5,612
4291,0,9.033693603863576,5,613
4292,1,8.91996324294256,5,613
4293,2,7.754284105576816,5,613
4294,3,7.272826831853737,5,613
4295,4,7.832847967406951,5,613
4296,5,7.589635920128238,5,613
4297,6,9.478874391830969,5,613
4298,0,9.033693603863576,2,614
4299,1,9.033693603863576,2,614
4300,2,8.736057198316635,2,614
4301,3,9.348760180544025,2,614
4302,4,9.372832114344815,2,614
4303,5,9.517928035459263,2,614
4304,6,9.478874391830969,2,614
4305,0,9.033693603863576,3,615
4306,1,9.033693603863576,3,615
4307,2,8.46003524570378,3,615
4308,3,8.099500841971162,3,615
4309,4,9.205115684185111,3,615
4310,5,9.517928035459263,3,615
4311,6,9.478874391830969,3,615
4312,0,9.033693603863576,3,616
4313,1,9.033693603863576,3,616
4314,2,7.505365868512435,3,616
4315,3,7.359420316320413,3,616
4316,4,9.08088674235732,3,616
4317,5,9.48681386627281,3,616
4318,6,9.478874391830969,3,616
4319,0,9.033693603863576,5,617
4320,1,9.082076115978332,5,617
4321,2,8.190363368383473,5,617
4322,3,7.762357356032775,5,617
4323,4,7.462663929323573,5,617
4324,5,7.340870428744073,5,617
4325,6,9.478874391830969,5,617
4326,0,9.033693603863576,5,618
4327,1,9.18607071949346,5,618
4328,2,9.232905796812048,5,618
4329,3,8.14966463109944,5,618
4330,4,7.609550649830598,5,618
4331,5,7.611795500114123,5,618
4332,6,9.478874391830969,5,618
4333,0,9.033693603863576,2,619
4334,1,8.94500779983107,2,619
4335,2,8.624018240832456,2,619
4336,3,9.092649211512713,2,619
4337,4,9.169720578197266,2,619
4338,5,9.22163159880928,2,619
4339,6,9.478874391830969,2,619
4340,0,9.033693603863576,1,620
4341,1,8.378488975710765,1,620
4342,2,9.37170965233677,1,620
4343,3,9.118130116763036,1,620
4344,4,9.156668449565604,1,620
4345,5,9.48681386627281,1,620
4346,6,9.478874391830969,1,620
4347,0,9.033693603863576,2,621
4348,1,8.97967680264012,2,621
4349,2,8.363182780282862,2,621
4350,3,9.4705829010152,2,621
4351,4,9.277929620370427,2,621
4352,5,9.22163159880928,2,621
4353,6,9.478874391830969,2,621
4354,0,9.033693603863576,1,622
4355,1,9.033693603863576,1,622
4356,2,9.033541968270663,1,622
4357,3,8.605746541090545,1,622
4358,4,8.967755512326798,1,622
4359,5,9.469109254337791,1,622
4360,6,9.478874391830969,1,622
4361,0,9.033693603863576,1,623
4362,1,8.91996324294256,1,623
4363,2,9.544372591078051,1,623
4364,3,9.3732409912139,1,623
4365,4,9.169720578197266,1,623
4366,5,9.22163159880928,1,623
4367,6,9.478874391830969,1,623
4368,0,9.033693603863576,4,624
4369,1,8.150095346987698,4,624
4370,2,8.098256442313476,4,624
4371,3,8.102657123301944,4,624
4372,4,7.7678386937588835,4,624
4373,5,9.48681386627281,4,624
4374,6,9.478874391830969,4,624
4375,0,9.033693603863576,0,625
4376,1,9.3488559938478,0,625
4377,2,9.382958190023832,0,625
4378,3,9.539768966268053,0,625
4379,4,9.5351173070243,0,625
4380,5,9.373844581545354,0,625
4381,6,9.478874391830969,0,625
4382,0,9.033693603863576,0,626
4383,1,9.558504229468369,0,626
4384,2,9.676681601299526,0,626
4385,3,9.662976872682709,0,626
4386,4,9.533318997661462,0,626
4387,5,9.379218848313783,0,626
4388,6,9.478874391830969,0,626
4389,0,9.033693603863576,1,627
4390,1,9.033693603863576,1,627
4391,2,9.59477638412076,1,627
4392,3,9.601059209383632,1,627
4393,4,9.48850782340515,1,627
4394,5,9.449919280018875,1,627
4395,6,9.478874391830969,1,627
4396,0,9.033693603863576,2,628
4397,1,8.889120769392049,2,628
4398,2,8.64900974500726,2,628
4399,3,9.190357009506718,2,628
4400,4,9.690045946317897,2,628
4401,5,9.581561722121956,2,628
4402,6,9.478874391830969,2,628
4403,0,9.033693603863576,1,629
4404,1,9.033693603863576,1,629
4405,2,9.695112100165984,1,629
4406,3,9.603210013949417,1,629
4407,4,9.625519221105655,1,629
4408,5,9.22163159880928,1,629
4409,6,9.478874391830969,1,629
4410,0,9.033693603863576,4,630
4411,1,9.061122774912016,4,630
4412,2,8.817642445151654,4,630
4413,3,8.302364397047787,4,630
4414,4,7.598289275513701,4,630
4415,5,9.22163159880928,4,630
4416,6,9.478874391830969,4,630
4417,0,9.033693603863576,5,631
4418,1,9.033693603863576,5,631
4419,2,8.976297111071787,5,631
4420,3,8.580029861864265,5,631
4421,4,7.878737687519647,5,631
4422,5,7.09558301795387,5,631
4423,6,9.478874391830969,5,631
4424,0,9.033693603863576,5,632
4425,1,9.033693603863576,5,632
4426,2,8.46003524570378,5,632
4427,3,7.746418637873105,5,632
4428,4,7.263454635347122,5,632
4429,5,7.23733720793046,5,632
4430,6,9.478874391830969,5,632
4431,0,9.033693603863576,0,633
4432,1,9.523639004371882,0,633
4433,2,9.079453520300785,0,633
4434,3,9.28312702672794,0,633
4435,4,9.512450578087408,0,633
4436,5,9.22163159880928,0,633
4437,6,9.478874391830969,0,633
4438,0,9.033693603863576,5,634
4439,1,8.889120769392049,5,634
4440,2,8.748258135317677,5,634
4441,3,8.584448152906026,5,634
4442,4,8.187332753078268,5,634
4443,5,8.152827584841745,5,634
4444,6,9.478874391830969,5,634
4445,0,9.033693603863576,0,635
4446,1,9.67441289337308,0,635
4447,2,9.179603557099725,0,635
4448,3,9.220158618075851,0,635
4449,4,9.337275494991044,0,635
4450,5,9.369618348024256,0,635
4451,6,9.478874391830969,0,635
4452,0,9.033693603863576,0,636
4453,1,9.51427968482798,0,636
4454,2,9.45091771769448,0,636
4455,3,9.476194936913982,0,636
4456,4,9.514503845435684,0,636
4457,5,9.517928035459263,0,636
4458,6,9.478874391830969,0,636
4459,0,9.033693603863576,0,637
4460,1,9.76802038253266,0,637
4461,2,9.779709132414816,0,637
4462,3,9.708873460564943,0,637
4463,4,9.603548942257357,0,637
4464,5,9.316297250868915,0,637
4465,6,9.478874391830969,0,637
4466,0,9.033693603863576,5,638
4467,1,9.033693603863576,5,638
4468,2,8.570347868824287,5,638
4469,3,8.322563393457555,5,638
4470,4,7.688514502086709,5,638
4471,5,7.684895426290531,5,638
4472,6,9.478874391830969,5,638
4473,0,9.033693603863576,1,639
4474,1,9.028432256450497,1,639
4475,2,9.781875108020314,1,639
4476,3,9.560723554718823,1,639
4477,4,9.397885301833162,1,639
4478,5,9.393569537180552,1,639
4479,6,9.478874391830969,1,639
4480,0,9.033693603863576,3,640
4481,1,9.033693603863576,3,640
4482,2,8.768246687503547,3,640
4483,3,8.464331242334277,3,640
4484,4,9.089746609223669,3,640
4485,5,9.284187931854142,3,640
4486,6,9.478874391830969,3,640
4487,0,9.033693603863576,1,641
4488,1,9.033693603863576,1,641
4489,2,9.53475350995842,1,641
4490,3,9.529203165085343,1,641
4491,4,9.113426470691202,1,641
4492,5,9.077914164454016,1,641
4493,6,9.478874391830969,1,641
4494,0,9.033693603863576,2,642
4495,1,8.970069858121956,2,642
4496,2,8.820335820911758,2,642
4497,3,9.308541599489674,2,642
4498,4,9.417133918002046,2,642
4499,5,9.092760621948736,2,642
4500,6,9.478874391830969,2,642
4501,0,9.033693603863576,3,643
4502,1,8.99356388467631,3,643
4503,2,8.275742225867136,3,643
4504,3,7.41816668910769,3,643
4505,4,9.318262031538875,3,643
4506,5,9.211392972988516,3,643
4507,6,9.478874391830969,3,643
4508,0,9.033693603863576,3,644
4509,1,9.033693603863576,3,644
4510,2,8.46003524570378,3,644
4511,3,8.503009901400516,3,644
4512,4,9.576835624872707,3,644
4513,5,9.516132735711368,3,644
4514,6,9.478874391830969,3,644
4515,0,9.033693603863576,1,645
4516,1,9.033693603863576,1,645
4517,2,9.420536493046823,1,645
4518,3,9.536451274267469,1,645
4519,4,9.283229532128583,1,645
4520,5,9.503931323064196,1,645
4521,6,9.478874391830969,1,645
4522,0,9.033693603863576,0,646
4523,1,9.74236716458367,0,646
4524,2,9.665165344121432,0,646
4525,3,9.450317092404994,0,646
4526,4,9.621403158556594,0,646
4527,5,9.48681386627281,0,646
4528,6,9.478874391830969,0,646
4529,0,9.033693603863576,2,647
4530,1,9.033693603863576,2,647
4531,2,8.805342947292127,2,647
4532,3,9.544077201307088,2,647
4533,4,9.519831375330414,2,647
4534,5,9.48681386627281,2,647
4535,6,9.478874391830969,2,647
4536,0,9.033693603863576,2,648
4537,1,8.875364418529266,2,648
4538,2,8.840459415431615,2,648
4539,3,9.5704818313784,2,648
4540,4,9.459898922900267,2,648
4541,5,9.137554695794105,2,648
4542,6,9.478874391830969,2,648
4543,0,9.033693603863576,1,649
4544,1,9.066813271835995,1,649
4545,2,9.99918264513181,1,649
4546,3,9.811605873034395,1,649
4547,4,9.439972424253126,1,649
4548,5,9.449919280018875,1,649
4549,6,9.478874391830969,1,649
4550,0,9.033693603863576,4,650
4551,1,9.033693603863576,4,650
4552,2,8.19614773411982,4,650
4553,3,7.822849808242847,4,650
4554,4,7.573984283902991,4,650
4555,5,9.503931323064196,4,650
4556,6,9.478874391830969,4,650
4557,0,9.033693603863576,0,651
4558,1,9.575428996624105,0,651
4559,2,9.663437196045392,0,651
4560,3,9.13004307102747,0,651
4561,4,9.28371557726699,0,651
4562,5,9.207982886630193,0,651
4563,6,9.478874391830969,0,651
4564,0,9.033693603863576,5,652
4565,1,9.038976201172808,5,652
4566,2,8.585984407681673,5,652
4567,3,7.605868870228055,5,652
4568,4,7.3634692059368385,5,652
4569,5,7.41801077249517,5,652
4570,6,9.478874391830969,5,652
4571,0,9.033693603863576,4,653
4572,1,9.033693603863576,4,653
4573,2,8.972540949617539,4,653
4574,3,8.301361635863708,4,653
4575,4,7.139191901028762,4,653
4576,5,9.435399605743992,4,653
4577,6,9.478874391830969,4,653
4578,0,9.033693603863576,4,654
4579,1,8.91996324294256,4,654
4580,2,8.736057198316635,4,654
4581,3,8.929548308642547,4,654
4582,4,7.727832760879821,4,654
4583,5,9.581553926489349,4,654
4584,6,9.478874391830969,4,654
4585,0,9.033693603863576,0,655
4586,1,9.534638898924706,0,655
4587,2,9.407286680802075,0,655
4588,3,9.447348417853624,0,655
4589,4,9.612555502711269,0,655
4590,5,9.492277220876185,0,655
4591,6,9.478874391830969,0,655
4592,0,9.033693603863576,4,656
4593,1,9.033693603863576,4,656
4594,2,8.976297111071787,4,656
4595,3,7.630192669163873,4,656
4596,4,7.079473616836547,4,656
4597,5,9.581553926489349,4,656
4598,6,9.478874391830969,4,656
4599,0,9.033693603863576,1,657
4600,1,8.150095346987698,1,657
4601,2,9.306745671620046,1,657
4602,3,9.412042443658956,1,657
4603,4,9.238525899613396,1,657
4604,5,9.474189988537717,1,657
4605,6,9.478874391830969,1,657
4606,0,9.033693603863576,5,658
4607,1,9.06022128486873,5,658
4608,2,8.849045975802234,5,658
4609,3,8.660352219780393,5,658
4610,4,8.27181373753846,5,658
4611,5,7.343049351420397,5,658
4612,6,9.478874391830969,5,658
4613,0,9.033693603863576,1,659
4614,1,9.033693603863576,1,659
4615,2,9.617592036487544,1,659
4616,3,9.59641826172489,1,659
4617,4,9.603424391896214,1,659
4618,5,9.653150208794765,1,659
4619,6,9.478874391830969,1,659
4620,0,9.033693603863576,3,660
4621,1,9.033693603863576,3,660
4622,2,7.939897651510385,3,660
4623,3,7.259441673284019,3,660
4624,4,8.848960285776903,3,660
4625,5,9.098300316945933,3,660
