,number_mutation,mean,color,trajectory
3,3,9.247631937981101,0,68
4,4,9.266978502552256,0,68
5,5,9.3246954860846,0,68
0,0,9.077131273632432,0,69
1,1,9.140273691318521,0,69
2,2,9.117970628125432,0,69
3,3,9.30791453396766,0,69
4,4,9.581553926489349,0,69
5,5,9.478874391830969,0,69
0,0,9.380485976305826,0,70
1,1,9.505115654516963,0,70
2,2,9.071303096460403,0,70
3,3,9.523967086908042,0,70
4,4,9.48681386627281,0,70
5,5,9.478874391830969,0,70
0,0,8.86761066650545,0,71
1,1,9.431899487659893,0,71
2,2,9.51217842617735,0,71
3,3,9.59849721593575,0,71
4,4,9.606392374917467,0,71
5,5,9.473285709729797,0,71
0,0,9.228346893270688,0,72
1,1,9.29819426334854,0,72
2,2,9.784856711529637,0,72
3,3,9.628834004017092,0,72
4,4,9.536408146478827,0,72
5,5,9.543169722918119,0,72
0,0,9.17924960300366,0,73
1,1,9.44745550990909,0,73
2,2,9.370343924003588,0,73
3,3,9.058518758858414,0,73
4,4,9.207982886630193,0,73
5,5,9.417874888550088,0,73
0,0,9.04598523058002,0,74
1,1,9.723368536343115,0,74
2,2,9.39557956460718,0,74
3,3,9.417342979585758,0,74
4,4,9.567595419169706,0,74
5,5,9.478874391830969,0,74
0,0,9.266625770847497,0,75
1,1,9.553794067987463,0,75
2,2,9.725214469853352,0,75
3,3,9.762576437913156,0,75
4,4,9.668639764863261,0,75
5,5,9.478874391830969,0,75
0,0,9.173070634738874,0,76
1,1,9.395113429041634,0,76
2,2,9.356524695824676,0,76
3,3,9.349619722952625,0,76
4,4,9.38171015782063,0,76
5,5,9.429310749933366,0,76
0,0,8.841512747733098,0,77
1,1,9.375725777604751,0,77
2,2,9.482746887754441,0,77
3,3,9.527675477687398,0,77
4,4,9.496850069466669,0,77
5,5,9.384965796045025,0,77
0,0,8.692633812599244,0,78
1,1,8.927522372938938,0,78
2,2,9.003602941607209,0,78
3,3,9.138578438173925,0,78
4,4,9.011637512884679,0,78
5,5,9.442193232662262,0,78
0,0,9.126698516271139,0,79
1,1,9.705025846040007,0,79
2,2,9.68834546501655,0,79
3,3,9.452252863876103,0,79
4,4,9.216747401666296,0,79
5,5,9.431114984893506,0,79
0,0,9.373114660190558,0,80
1,1,9.03673010268316,0,80
2,2,9.476858131655945,0,80
3,3,9.559462815949317,0,80
4,4,9.428844467582756,0,80
5,5,9.395892672960281,0,80
0,0,9.198953340347712,0,81
1,1,9.698067457451453,0,81
2,2,9.704195617562746,0,81
3,3,9.600897116826664,0,81
4,4,9.58226748055709,0,81
5,5,9.478874391830969,0,81
0,0,9.278468293941517,0,82
1,1,9.533455217976474,0,82
2,2,9.573726726863814,0,82
3,3,9.562981049741571,0,82
4,4,9.532816169186384,0,82
5,5,9.496585221193847,0,82
0,0,9.143103608899043,0,83
1,1,9.745690783323193,0,83
2,2,9.452277357143108,0,83
3,3,9.148276330623474,0,83
4,4,9.48681386627281,0,83
5,5,9.478874391830969,0,83
0,0,9.381561232999406,0,84
1,1,9.30794141970115,0,84
2,2,9.806902304825492,0,84
3,3,9.498276056517872,0,84
4,4,9.465451405661465,0,84
5,5,9.478874391830969,0,84
0,0,9.083682028761388,0,85
1,1,9.159598483109908,0,85
2,2,9.25836636001063,0,85
3,3,9.628088855033619,0,85
4,4,9.711229714390887,0,85
5,5,9.478874391830969,0,85
0,0,9.429276434245482,0,86
1,1,9.832973105868325,0,86
2,2,9.764049424969912,0,86
3,3,9.621403158556594,0,86
4,4,9.581553926489349,0,86
5,5,9.478874391830969,0,86
0,0,9.425708767743467,0,87
1,1,9.252182250986863,0,87
2,2,9.627385886887108,0,87
3,3,9.498276056517872,0,87
4,4,9.44408894505012,0,87
5,5,9.417874888550088,0,87
0,0,8.754919649231033,0,88
1,1,9.313403268034307,0,88
2,2,9.42808779389493,0,88
3,3,9.156668449565604,0,88
4,4,9.225714975588366,0,88
5,5,9.478874391830969,0,88
0,0,8.867040094934705,0,89
1,1,9.4694366092834,0,89
2,2,9.617900755103342,0,89
3,3,9.48850782340515,0,89
4,4,9.22163159880928,0,89
5,5,9.478874391830969,0,89
0,0,9.371962445745718,0,90
1,1,9.442493022571597,0,90
2,2,9.013743971513025,0,90
3,3,9.29647974048405,0,90
4,4,9.173013345618545,0,90
5,5,9.321973185700076,0,90
0,0,9.31773473059922,0,91
1,1,9.548631067521807,0,91
2,2,9.300250645882024,0,91
3,3,9.500667856159373,0,91
4,4,9.406125070026743,0,91
5,5,9.478874391830969,0,91
0,0,9.199196984207422,0,92
1,1,9.535405543209905,0,92
2,2,9.463451646078683,0,92
3,3,9.417203965836581,0,92
4,4,9.428266154997491,0,92
5,5,9.417874888550088,0,92
0,0,8.885925956297019,0,93
1,1,9.464237689856153,0,93
2,2,9.424728997958178,0,93
3,3,9.411395388427367,0,93
4,4,9.469109254337791,0,93
5,5,9.442193232662262,0,93
0,0,9.311261931040017,0,94
1,1,9.91935047570787,0,94
2,2,9.623369884642315,0,94
3,3,9.698993916316423,0,94
4,4,9.612320486021131,0,94
5,5,9.578973909114797,0,94
0,0,9.194280667799172,0,95
1,1,9.521710452824795,0,95
2,2,9.53380278861195,0,95
3,3,9.478266012047825,0,95
4,4,9.517928035459263,0,95
5,5,9.478874391830969,0,95
0,0,9.04330079113718,0,96
1,1,9.422971629156622,0,96
